full_text,clean_text,normalisasi_text,tokenize,stopword_removal,steming_data,label
@CakKhum Satu lagi mentri laknatullah alaih... Urusan BBM etanol korupsi tambang pertamina semuanya bersumber dari orang ini...,cakkhum satu lagi mentri laknatullah alaih urusan etanol korupsi tambang pertamina semuanya bersumber dari orang,cakkhum satu lagi mentri laknatullah alaih urusan etanol korupsi tambang pertamina semuanya bersumber dari orang,"['cakkhum', 'satu', 'lagi', 'mentri', 'laknatullah', 'alaih', 'urusan', 'etanol', 'korupsi', 'tambang', 'pertamina', 'semuanya', 'bersumber', 'dari', 'orang']","['cakkhum', 'mentri', 'laknatullah', 'alaih', 'urusan', 'etanol', 'korupsi', 'tambang', 'pertamina', 'bersumber', 'orang']",cakkhum tri laknatullah alaih urus etanol korupsi tambang pertamina sumber orang,negative
Udah di oplos Ada etanol Harga naik Dan pertamina tetap rugi Benar benar luar angkasa bobroknya,udah oplos etanol harga naik pertamina tetap rugi benar benar luar angkasa bobroknya,sudah oplos etanol harga naik pertamina tetap rugi benar benar luar angkasa bobroknya,"['sudah', 'oplos', 'etanol', 'harga', 'naik', 'pertamina', 'tetap', 'rugi', 'benar', 'benar', 'luar', 'angkasa', 'bobroknya']","['oplos', 'etanol', 'harga', 'pertamina', 'rugi', 'angkasa', 'bobroknya']",oplos etanol harga pertamina rugi angkasa bobrok,negative
Tertibkan dong @pertamina jangan rusuh etanol aja,tertibkan dong pertamina jangan rusuh etanol,tertibkan dong pertamina jangan rusuh etanol,"['tertibkan', 'dong', 'pertamina', 'jangan', 'rusuh', 'etanol']","['tertibkan', 'pertamina', 'rusuh', 'etanol']",tertib pertamina rusuh etanol,negative
Rieke Diah Pitaloka mempertanyakan kesiapan Pertamina menyerap etanol lokal. Jangan sampai produksi jalan tapi serapan nol impor malah tetap tinggi #dprri #pdiperjuangan #fraksipdiperjuangan https://t.co/wX2fmR2lhk,rieke diah pitaloka mempertanyakan kesiapan pertamina menyerap etanol lokal jangan sampai produksi jalan tapi serapan impor malah tetap tinggi dprri pdiperjuangan fraksipdiperjuangan tcowxfmrlhk,rieke diah pitaloka mempertanyakan kesiapan pertamina menyerap etanol lokal jangan sampai produksi jalan tapi serapan impor malah tetap tinggi dprri pdiperjuangan fraksipdiperjuangan tcowxfmrlhk,"['rieke', 'diah', 'pitaloka', 'mempertanyakan', 'kesiapan', 'pertamina', 'menyerap', 'etanol', 'lokal', 'jangan', 'sampai', 'produksi', 'jalan', 'tapi', 'serapan', 'impor', 'malah', 'tetap', 'tinggi', 'dprri', 'pdiperjuangan', 'fraksipdiperjuangan', 'tcowxfmrlhk']","['rieke', 'diah', 'pitaloka', 'kesiapan', 'pertamina', 'menyerap', 'etanol', 'lokal', 'produksi', 'jalan', 'serapan', 'impor', 'dprri', 'pdiperjuangan', 'fraksipdiperjuangan', 'tcowxfmrlhk']",rieke diah pitaloka kesiap pertamina serap etanol lokal produksi jalan serap impor dprri pdiperjuangan fraksipdiperjuangan tcowxfmrlhk,negative
@susno2g @pertamina @Kemenperin_RI @KementerianESDM @Danantara_ri @KompasTV @tribunnews @tvOneNews yg jd masalah itu etanol/alkohol pak.. byk kendaraan tidak cocok u/ etanol.. etanol itu bahan dasarnya air.. air itu menyebabkan karat (apalg kadarnya tdk mendekati 100%) karet alami tdk tahan dg etanol tkg reparasi elektronik paham etanol meninggalkan bercak putih dll..,susnog pertamina kemenperinri kementerianesdm danantarari kompastv tribunnews tvonenews masalah etanolalkohol kendaraan tidak cocok etanol etanol bahan dasarnya menyebabkan karat apalg kadarnya mendekati karet alami tahan etanol reparasi elektronik paham etanol meninggalkan bercak putih,susnog pertamina kemenperinri kementerianesdm danantarari kompastv tribunnews tvonenews masalah etanolalkohol kendaraan tidak cocok etanol etanol bahan dasarnya menyebabkan karat apalagi kadarnya mendekati karet alami tahan etanol reparasi elektronik paham etanol meninggalkan bercak putih,"['susnog', 'pertamina', 'kemenperinri', 'kementerianesdm', 'danantarari', 'kompastv', 'tribunnews', 'tvonenews', 'masalah', 'etanolalkohol', 'kendaraan', 'tidak', 'cocok', 'etanol', 'etanol', 'bahan', 'dasarnya', 'menyebabkan', 'karat', 'apalagi', 'kadarnya', 'mendekati', 'karet', 'alami', 'tahan', 'etanol', 'reparasi', 'elektronik', 'paham', 'etanol', 'meninggalkan', 'bercak', 'putih']","['susnog', 'pertamina', 'kemenperinri', 'kementerianesdm', 'danantarari', 'kompastv', 'tribunnews', 'tvonenews', 'etanolalkohol', 'kendaraan', 'cocok', 'etanol', 'etanol', 'bahan', 'dasarnya', 'menyebabkan', 'karat', 'kadarnya', 'mendekati', 'karet', 'alami', 'tahan', 'etanol', 'reparasi', 'elektronik', 'paham', 'etanol', 'meninggalkan', 'bercak', 'putih']",susnog pertamina kemenperinri kementerianesdm danantarari kompastv tribunnews tvonenews etanolalkohol kendara cocok etanol etanol bahan dasar sebab karat kadar dekat karet alami tahan etanol reparasi elektronik paham etanol tinggal bercak putih,negative
@susno2g @pertamina @KementerianESDM @Danantara_ri @Kemenperin_RI @kementan @tvOneNews @KompasTV &amp; rawan pengoplosan dg air.. bikin mubil/montror brebet.. bengsin campur etanol aja mrk udah berani ngoplos dg air pak.. spt pidiyo cak ji jatim.. https://t.co/UNDMhNmYNt,susnog pertamina kementerianesdm danantarari kemenperinri kementan tvonenews kompastv rawan pengoplosan bikin mubilmontror brebet bengsin campur etanol udah berani ngoplos pidiyo jatim tcoundmhnmynt,susnog pertamina kementerianesdm danantarari kemenperinri kementan tvonenews kompastv rawan pengoplosan bikin mubilmontror brebet bengsin campur etanol sudah berani ngoplos pidiyo jatim tcoundmhnmynt,"['susnog', 'pertamina', 'kementerianesdm', 'danantarari', 'kemenperinri', 'kementan', 'tvonenews', 'kompastv', 'rawan', 'pengoplosan', 'bikin', 'mubilmontror', 'brebet', 'bengsin', 'campur', 'etanol', 'sudah', 'berani', 'ngoplos', 'pidiyo', 'jatim', 'tcoundmhnmynt']","['susnog', 'pertamina', 'kementerianesdm', 'danantarari', 'kemenperinri', 'kementan', 'tvonenews', 'kompastv', 'rawan', 'pengoplosan', 'bikin', 'mubilmontror', 'brebet', 'bengsin', 'campur', 'etanol', 'berani', 'ngoplos', 'pidiyo', 'jatim', 'tcoundmhnmynt']",susnog pertamina kementerianesdm danantarari kemenperinri tan tvonenews kompastv rawan oplos bikin mubilmontror brebet bengsin campur etanol berani ngoplos pidiyo jatim tcoundmhnmynt,negative
@SnaiperMask Maksudnya yang sekarang itu soal BBM Etanol padahal Pertamina masih jelek tingkat kepercayaan publiknya dan Kewajiban Harus Beli BBM Mentah bagi BBM Swasta yang malah mematikan bisnis BBM Swasta dan Monopoli Pertamina.,snaipermask maksudnya yang sekarang soal etanol padahal pertamina masih jelek tingkat kepercayaan publiknya kewajiban harus beli mentah bagi swasta yang malah mematikan bisnis swasta monopoli pertamina,snaipermask maksudnya yang sekarang soal etanol padahal pertamina masih jelek tingkat kepercayaan publiknya kewajiban harus beli mentah bagi swasta yang malah mematikan bisnis swasta monopoli pertamina,"['snaipermask', 'maksudnya', 'yang', 'sekarang', 'soal', 'etanol', 'padahal', 'pertamina', 'masih', 'jelek', 'tingkat', 'kepercayaan', 'publiknya', 'kewajiban', 'harus', 'beli', 'mentah', 'bagi', 'swasta', 'yang', 'malah', 'mematikan', 'bisnis', 'swasta', 'monopoli', 'pertamina']","['snaipermask', 'maksudnya', 'etanol', 'pertamina', 'jelek', 'tingkat', 'kepercayaan', 'publiknya', 'kewajiban', 'beli', 'mentah', 'swasta', 'mematikan', 'bisnis', 'swasta', 'monopoli', 'pertamina']",snaipermask maksud etanol pertamina jelek tingkat percaya publik wajib beli mentah swasta mati bisnis swasta monopoli pertamina,negative
Pertamina kontol motor gue kecampur etanol bangsat cukimay. Lama-lama nih motor gw isi bimoli aja.,pertamina kontol motor kecampur etanol bangsat cukimay lamalama motor bimoli,pertamina kontol motor kecampur etanol bangsat cukimay lamalama motor bimoli,"['pertamina', 'kontol', 'motor', 'kecampur', 'etanol', 'bangsat', 'cukimay', 'lamalama', 'motor', 'bimoli']","['pertamina', 'kontol', 'motor', 'kecampur', 'etanol', 'bangsat', 'cukimay', 'lamalama', 'motor', 'bimoli']",pertamina kontol motor campur etanol bangsat cukimay lamalama motor bimoli,negative
 nek cangkeme sampeyan gak brebet aku melok nggo sepedaku tak isi etanol @bahlillahadalia #pertamina #etanol #bahlil https://t.co/H3tI2JwzBo,cangkeme sampeyan brebet melok nggo sepedaku etanol bahlillahadalia pertamina etanol bahlil tcohtijwzbo,cangkeme sampeyan brebet melok nggo sepedaku etanol bahlillahadalia pertamina etanol bahlil tcohtijwzbo,"['cangkeme', 'sampeyan', 'brebet', 'melok', 'nggo', 'sepedaku', 'etanol', 'bahlillahadalia', 'pertamina', 'etanol', 'bahlil', 'tcohtijwzbo']","['cangkeme', 'sampeyan', 'brebet', 'melok', 'nggo', 'sepedaku', 'etanol', 'bahlillahadalia', 'pertamina', 'etanol', 'bahlil', 'tcohtijwzbo']",cangkeme sampeyan brebet lok nggo sepeda etanol bahlillahadalia pertamina etanol bahlil tcohtijwzbo,negative
Jadi gimana ini keberlanjutannya pertamina?? Masih ada etanol nya nggak? Pusing bangett mau isi pake BP tapi sering banget habiss.. mau di isi pake pertamina udah trauma sepeda mogok kek kemarin. Udah di servis masa isi pertamina lagi? Gimana niihh:((( #pertamina #solusi,jadi gimana keberlanjutannya pertamina masih etanol nggak pusing bangett pake tapi sering banget habiss pake pertamina udah trauma sepeda mogok kemarin udah servis masa pertamina lagi gimana niihh pertamina solusi,jadi bagaimana keberlanjutannya pertamina masih etanol tidak pusing banget pakai tapi sering banget habiss pakai pertamina sudah trauma sepeda mogok kemarin sudah servis masa pertamina lagi bagaimana nih pertamina solusi,"['jadi', 'bagaimana', 'keberlanjutannya', 'pertamina', 'masih', 'etanol', 'tidak', 'pusing', 'banget', 'pakai', 'tapi', 'sering', 'banget', 'habiss', 'pakai', 'pertamina', 'sudah', 'trauma', 'sepeda', 'mogok', 'kemarin', 'sudah', 'servis', 'masa', 'pertamina', 'lagi', 'bagaimana', 'nih', 'pertamina', 'solusi']","['keberlanjutannya', 'pertamina', 'etanol', 'pusing', 'banget', 'pakai', 'banget', 'habiss', 'pakai', 'pertamina', 'trauma', 'sepeda', 'mogok', 'kemarin', 'servis', 'pertamina', 'nih', 'pertamina', 'solusi']",lanjut pertamina etanol pusing banget pakai banget habiss pakai pertamina trauma sepeda mogok kemarin servis pertamina nih pertamina solusi,negative
