steming_data,pseudo_label,confidence
kilang gang sempit kilang pertamina internasional mesin angka umkm tambah etalase berani stok barang,negatif,0.4518421036687615
gembos pertamina etanol gembos bahlil sadar prabowo bangdasco gerindra,positif,0.4421216567621003
tolak mulu magang curiga magang bigpertamina,positif,0.4046150015654993
seputarenergi toyota kandung etanol pertamina pengaruh kerja kendara,positif,0.5369598330441246
araafiaprilia beli base fuel pertamina issue edar base fuel pertamina etanol kadar,positif,0.37422495616507245
belanja pertamina ribu barel abang spbu gin stockmu lokasi muhammad citraland surabaya malas ngisi etanol bpplc tcoqzzeicmlm,positif,0.4131631295073762
jimans tinggal kota pilih pertamina ngisinya pertamax pertalite,positif,0.47564244279697315
pasti stok aman dinas esdm aceh pertamina imbau masyarakat panic buying tcotolcwlcty,positif,0.3957866137428879
wali kota apresiasi rdmp balikpapan buka peluang kerja balikpapan benar lonjak ekonomi kilang balikpapan kilang pertamina internasional motor utama,negatif,0.40791607004611513
umkm lokal kembang berkat kilang pertamina internasional proyek rdmp balikpapan buka peluang usaha mantap,negatif,0.49460644369000234
andai bahlil hina bongkar korupsi pertamina bensin oplos etanol,negatif,0.47386151592736336
pertamina hadir kualitas layan optimal pertamina etanol energibersih transisienergi energiuntuknegeri inovasienergi indonesiamaju greenenergy emisirendah ekonomi tcokjjastgtf,positif,0.43215634744118636
titik orang tua buka mosok kalah mbek pertamina kode cari loker akwoakoka,negatif,0.491395432956629
percaya benci literally orang gantung banget motor sesuai etanol pikir kemarin baik tau lanjut motor suami kena gegara pertamina,negatif,0.43523400205184715
pertamina mati harga pertamina naik thank prabowo,negatif,0.35866850775555903
antre ular pertamina jamin distribusi aceh sumatera aman berut tcokgtfdifs,positif,0.39810720359819124
pertamina dukung campur persen etanol tcoolfzdtot,neutral,0.35894604574807404
sheilatp bikin polarisstellar alam tembus bumn shopee paragon pertamina dll,neutral,0.4958553413696384
jalan pendek kilang balikpapan bawa ubah rdmp balikpapan beri langgan umkm rasa tingkat beli dorong kilang pertamina internasional,positif,0.3874419868088646
ramai aktivitas kilang pertamina internasional peluang ekonomi tumbuh pesat usaha bangkit bukti hadir rdmp balikpapan benarbenar sentuh masyarakat,negatif,0.41317412830855577
pertamax green rata spbu jawa nemu kota semarang itu spbu coco pertamina ptmpatraniaga pertamina,positif,0.4215565825000057
infojktcom alhamdulillah udha pasti kandung etanol pertamina aman kendara,positif,0.5676505437234035
akses buka pertamina optimal salur sumatra barat tcoetvw,negatif,0.3537107386646479
lyvan taboada yana shcherban gebrak proliga bela musim taboada samator shcherban pertamina enduro mojisports proliga dukungvoliindonesia tcocxdbtyqk,positif,0.6252095222446857
